01415 ENZV Stavanger Observations at 00Z 01 Jan 2020

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1024.0     37    6.0    4.7     91   5.25    300      2  277.3  291.7  278.1
 1015.0    110    5.7    4.1     89   5.08    250     10  277.7  291.7  278.5
 1000.0    234    5.2    3.1     86   4.80    260     16  278.4  291.7  279.2
  996.0    266    4.9    3.0     87   4.77    260     16  278.4  291.7  279.2
  925.0    864    0.2    0.2    100   4.22    250     19  279.5  291.3  280.2
  905.0   1038   -1.1   -1.1    100   3.91    240     21  279.9  291.0  280.6
  866.0   1388   -3.6   -3.8     99   3.35    255     19  280.8  290.4  281.4
  853.0   1508   -4.5   -4.7     99   3.18    271     26  281.1  290.2  281.7
  850.0   1536   -3.1   -9.1     63   2.27    275     27  282.9  289.6  283.3
  849.0   1545   -2.3  -13.3     43   1.62    275     28  283.8  288.7  284.1
  846.0   1573   -1.6  -18.6     26   1.05    275     31  284.9  288.1  285.0
  844.0   1592   -1.1  -22.1     19   0.78    275     32  285.6  288.0  285.7
  840.0   1630   -0.7  -28.7     10   0.43    276     34  286.4  287.8  286.4
  816.0   1862    1.3  -21.9     16   0.82    280     45  290.9  293.5  291.0
  815.0   1872    1.4  -21.6     16   0.84    280     45  291.1  293.8  291.2
  769.0   2338    1.2  -30.8      7   0.38    295     45  295.7  297.1  295.8
  755.0   2484    0.2  -31.0      7   0.38    300     45  296.2  297.6  296.3
  700.0   3086   -3.7  -31.7      9   0.39    295     51  298.4  299.7  298.4
  693.0   3165   -4.3  -36.3      6   0.25    296     51  298.6  299.4  298.6
  590.0   4396  -12.8  -40.2      8   0.20    305     58  302.7  303.4  302.7
  524.0   5303  -19.1  -43.1     10   0.16    301     60  305.6  306.2  305.6
  520.0   5360  -19.7  -32.7     31   0.47    301     60  305.5  307.2  305.6
  514.0   5446  -20.3  -35.3     25   0.37    301     60  305.8  307.1  305.9
  510.0   5504  -20.9  -27.9     53   0.76    301     60  305.8  308.4  305.9
  504.0   5591  -20.7  -30.7     40   0.59    300     60  307.0  309.1  307.1
  500.0   5650  -21.1  -30.1     44   0.63    300     60  307.2  309.5  307.4
  455.0   6340  -24.7  -32.7     47   0.54    302     55  311.1  313.1  311.2
  400.0   7260  -32.7  -42.7     36   0.22    305     49  312.4  313.2  312.4
  306.0   9080  -49.1  -59.1     30   0.04    310     52  314.2  314.4  314.3
  300.0   9210  -50.1  -60.1     30   0.04    310     52  314.6  314.8  314.6
  275.0   9775  -54.5  -65.5     24   0.02    315     52  316.2  316.3  316.2
  250.0  10380  -59.9  -69.9     26   0.01    320     51  316.9  316.9  316.9
  242.0  10580  -61.6  -71.1     27   0.01    315     47  317.4  317.4  317.4
  233.0  10814  -63.5  -72.5     28   0.01    319     47  317.9  317.9  317.9
  200.0  11730  -70.9  -77.9     35   0.00    335     49  320.3  320.4  320.3
  179.0  12380  -76.3  -82.4     38   0.00    330     49  321.7  321.8  321.7
  177.0  12446  -76.9  -82.9     38   0.00    325     47  321.9  321.9  321.9
  172.0  12611  -77.0  -82.5     42   0.00    315     45  324.3  324.3  324.3
  161.0  12992  -77.4  -81.5     52   0.00    295     49  329.9  329.9  329.9
  152.0  13324  -77.7  -80.7     62   0.00    300     62  334.8  334.8  334.8
  150.0  13400  -77.7  -81.0     59   0.00    305     62  336.1  336.1  336.1
  141.0  13756  -74.9  -82.9     28   0.00    305     49  346.9  346.9  346.9
  139.0  13839  -74.3  -83.3     24   0.00    305     50  349.4  349.5  349.4
  114.0  15006  -70.6  -85.3     10   0.00    300     68  376.6  376.7  376.6
  105.0  15490  -69.1  -86.1      7   0.00    300     64  388.5  388.5  388.5
  100.0  15780  -70.3  -87.3      7   0.00    300     62  391.6  391.6  391.6
   94.2  16132  -71.9  -87.9      8   0.00    290     60  395.2  395.2  395.2
   88.0  16533  -71.4  -88.2      7   0.00    290     72  403.9  403.9  403.9
   87.7  16553  -71.4  -88.2      7   0.00    290     72  404.4  404.4  404.4
   78.9  17176  -70.7  -88.7      6   0.00    290     71  418.2  418.3  418.2
   70.0  17880  -72.3  -89.3      6   0.00    290     70  429.4  429.4  429.4
   65.0  18317  -72.2  -89.5      6   0.00    285     70  438.8  438.9  438.8
   56.0  19195  -71.9  -89.8      5   0.00    300     70  458.5  458.5  458.5
   54.9  19312  -71.9  -89.9      5   0.00    301     68  461.2  461.2  461.2
   50.0  19860  -74.3  -91.3      6   0.00    305     58  468.0  468.0  468.0
   44.0  20594  -76.2  -92.2      7   0.00    280     49  480.8  480.8  480.8
   34.3  22023  -79.9  -93.9      9   0.00    285     80  506.5  506.6  506.5
