64400 FCPP Pointe-Noire Observations at 12Z 14 Feb 2021

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1008.0     17   31.0   25.0     70  20.27    180     10  303.5  364.1  307.1
 1000.0     92   28.4   23.5     75  18.63    180     10  301.6  356.7  304.9
  996.0    128   28.2   23.4     75  18.59    181     10  301.7  356.8  305.0
  977.0    299   26.5   23.1     82  18.63    185     10  301.7  356.9  305.0
  969.0    372   25.8   23.0     85  18.65    185     10  301.6  356.9  305.0
  950.0    546   24.4   21.4     83  17.21    185     11  301.9  353.0  305.1
  944.0    602   24.0   21.1     84  17.02    185     11  302.1  352.5  305.1
  925.0    780   22.6   20.2     86  16.40    180     11  302.4  351.1  305.4
  912.0    903   21.7   19.6     88  16.01    185     10  302.7  350.3  305.6
  893.0   1087   20.4   18.7     90  15.45    187      9  303.2  349.2  306.0
  878.0   1234   19.8   17.6     87  14.64    188      8  304.1  347.8  306.7
  870.0   1313   20.0   16.8     82  14.03    188      7  305.1  347.2  307.6
  850.0   1514   19.2   14.7     75  12.52    190      6  306.2  344.1  308.6
  817.0   1854   17.4    8.4     55   8.53    178      7  307.8  334.1  309.4
  794.0   2096   15.8    9.2     65   9.25    170      8  308.6  337.1  310.3
  746.0   2625   12.2   10.8     91  11.02     88      7  310.3  344.2  312.3
  725.0   2864   11.4    7.5     77   9.04     50      7  311.9  340.1  313.6
  700.0   3158   10.4    3.4     62   7.03     35     14  314.0  336.3  315.3
  657.0   3680    7.4    0.4     61   6.05     35     22  316.4  335.9  317.5
  640.0   3895    6.2   -0.8     61   5.68     45     20  317.4  335.8  318.4
  617.0   4197    4.5   -2.5     60   5.19     45     16  318.7  335.7  319.7
  600.0   4426    3.2   -3.8     60   4.84     35     17  319.8  335.7  320.7
  595.0   4494    2.7   -4.3     60   4.70     30     18  320.0  335.5  320.9
  569.0   4854    0.0   -7.0     59   4.00     18     11  320.9  334.2  321.7
  552.0   5097   -1.6  -10.0     53   3.25     10      6  321.8  332.8  322.4
  545.0   5198   -2.3  -11.3     50   2.97      4      3  322.1  332.3  322.7
  541.0   5257   -2.0  -17.0     31   1.87      0      2  323.1  329.7  323.5
  539.0   5286   -1.9  -19.9     24   1.47    340      3  323.6  328.9  323.9
  534.0   5361   -1.9  -27.9     12   0.73    291      5  324.5  327.2  324.6
  529.0   5435   -2.3  -30.3     10   0.59    240      6  324.9  327.1  325.0
  525.0   5495   -2.7  -30.1     10   0.60    200      8  325.1  327.4  325.2
  500.0   5880   -5.5  -28.5     14   0.73    210     10  326.3  329.0  326.4
  459.0   6545   -9.8  -23.2     32   1.29     20      6  329.0  333.8  329.3
  445.0   6786  -11.3  -21.3     43   1.58     28     11  330.0  335.7  330.3
  435.0   6961  -12.3  -31.3     19   0.65     33     15  330.9  333.4  331.0
  432.0   7014  -12.5  -27.1     29   0.97     35     16  331.3  334.9  331.4
  427.0   7103  -12.9  -19.9     56   1.86     30     16  331.9  338.6  332.3
  400.0   7600  -15.1  -26.1     39   1.14      5     15  335.3  339.6  335.5
  382.0   7945  -16.8  -33.7     22   0.58    350      9  337.5  339.8  337.6
  373.0   8124  -17.7  -37.7     16   0.40      3     10  338.6  340.2  338.7
  352.0   8551  -21.1  -33.8     31   0.63     35     12  339.7  342.1  339.8
  339.0   8829  -23.3  -31.3     48   0.83     86      9  340.3  343.6  340.5
  321.0   9225  -25.5  -41.5     21   0.31    159      3  342.6  343.9  342.7
  316.0   9338  -26.5  -41.8     22   0.31    180      2  342.8  344.1  342.9
  300.0   9710  -29.7  -42.7     27   0.30    190      4  343.4  344.6  343.5
  250.0  10980  -39.9  -44.9     59   0.28    275     13  346.6  347.8  346.7
  231.0  11508  -44.4  -49.2     59   0.19    295     13  347.6  348.4  347.7
  204.0  12338  -51.6  -56.0     59   0.10      0      6  349.0  349.4  349.0
  200.0  12470  -52.7  -57.1     59   0.08     30      6  349.1  349.5  349.2
  182.0  13057  -58.0  -62.2     58   0.05     45      6  350.1  350.4  350.2
  150.0  14260  -68.7  -72.8     55   0.01     60     16  351.6  351.6  351.6
  136.0  14829  -73.1  -76.2     62   0.01     75     30  353.8  353.9  353.8
  112.0  15956  -81.7  -83.1     79   0.00    102     21  357.9  357.9  357.9
  110.0  16057  -82.1  -83.6     78   0.00    105     20  358.9  359.0  358.9
  107.0  16212  -82.3  -84.3     72   0.00    110     24  361.4  361.4  361.4
  100.0  16590  -82.9  -86.1     58   0.00     90     22  367.3  367.3  367.3
   98.2  16691  -83.1  -86.9     52   0.00     82     21  368.8  368.9  368.8
   87.8  17324  -77.1  -82.0     46   0.01     29     17  392.9  392.9  392.9
   87.0  17376  -77.4  -82.3     45   0.01     25     17  393.3  393.3  393.3
   86.0  17442  -77.7  -82.7     45   0.01    350     14  393.9  393.9  393.9
   81.8  17728  -79.3  -84.3     44   0.00    332     14  396.4  396.4  396.4
   77.0  18074  -77.6  -83.9     36   0.00    310     13  406.8  406.9  406.8
   74.6  18255  -76.7  -83.7     32   0.00    270     12  412.4  412.4  412.4
   74.0  18301  -76.8  -84.0     31   0.00    260     12  413.0  413.1  413.0
   70.7  18563  -77.7  -85.7     27   0.00    207     16  416.6  416.7  416.6
   70.0  18620  -77.5  -85.5     27   0.00    195     17  418.3  418.3  418.3
   69.0  18703  -76.4  -84.6     26   0.00    170     19  422.4  422.4  422.4
   67.0  18874  -74.1  -82.7     26   0.01    150     12  430.9  430.9  430.9
   65.3  19023  -72.1  -81.1     25   0.01    170     12  438.4  438.5  438.4
   63.6  19178  -72.5  -82.5     21   0.01    190     12  440.9  440.9  440.9
   54.2  20133  -65.5  -79.5     13   0.01    312     12  477.6  477.7  477.6
   54.0  20155  -65.6  -79.6     13   0.01    315     12  477.9  477.9  477.9
   53.0  20268  -66.1  -79.8     13   0.01    290     17  479.2  479.3  479.2
   50.0  20620  -67.7  -80.7     14   0.01    280     19  483.5  483.6  483.5
   47.3  20954  -67.1  -81.1     12   0.01    258     19  492.7  492.8  492.7
   47.0  20992  -67.3  -81.3     12   0.01    255     19  493.2  493.3  493.2
   41.7  21708  -70.3  -85.3      9   0.01    237     13  502.8  502.9  502.8
   41.0  21811  -69.4  -85.1      9   0.01    235     12  507.5  507.5  507.5
   34.4  22879  -60.3  -83.3      3   0.01    137      9  557.4  557.5  557.5
   34.0  22952  -60.6  -84.0      3   0.01    130      9  558.6  558.7  558.6
   33.5  23044  -60.9  -84.9      3   0.01                560.1  560.2  560.1
