72363 AMA Amarillo Arpt(Awos) Observations at 12Z 03 Jul 1999

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     34                                                               
  925.0    736                                                               
  889.0   1099   21.0   17.1     78  14.00    200     28  304.2  346.1  306.8
  883.0   1156   21.2   19.3     89  16.24    201     31  305.0  353.7  308.0
  880.0   1185   21.2   16.2     73  13.34    201     32  305.3  345.4  307.7
  850.0   1478   19.2   15.5     79  13.20    205     46  306.2  346.1  308.7
  845.5   1524   18.9   15.4     80  13.21    200     46  306.4  346.4  308.9
  819.0   1798   17.4   15.0     86  13.27    213     45  307.6  347.9  310.1
  816.0   1829   17.5   14.0     80  12.46    215     45  308.0  346.0  310.3
  787.5   2134   18.4    4.2     39   6.61    215     43  312.1  333.0  313.4
  775.0   2271   18.8   -0.2     28   4.89    211     38  314.0  329.8  314.9
  760.0   2438   18.4   -3.5     22   3.90    205     32  315.3  328.1  316.1
  733.4   2743   17.7   -9.6     15   2.53    195     25  317.8  326.4  318.3
  730.0   2783   17.6  -10.4     14   2.38    194     25  318.1  326.2  318.6
  707.5   3048   16.0  -16.5      9   1.50    190     24  319.1  324.4  319.4
  700.0   3139   15.4  -18.6      8   1.27    180     21  319.5  324.0  319.8
  674.0   3458   13.8  -20.2      8   1.15    165     16  321.2  325.3  321.4
  657.9   3658   12.0  -19.4      9   1.26    155     13  321.4  325.9  321.6
  634.2   3962    9.3  -18.1     13   1.45    130     11  321.7  326.9  322.0
  611.2   4267    6.6  -16.9     17   1.68    135     10  322.0  327.9  322.3
  592.0   4531    4.2  -15.8     22   1.90    148     12  322.2  328.8  322.5
  589.0   4572    3.9  -16.5     21   1.79    150     12  322.3  328.6  322.6
  567.1   4877    1.7  -22.0     15   1.16    145     18  323.2  327.4  323.5
  546.0   5182   -0.4  -27.5     11   0.74    145     21  324.2  326.9  324.3
  534.0   5361   -1.7  -30.7      9   0.56    150     22  324.7  326.9  324.9
  500.0   5880   -6.1  -20.1     32   1.56    165     25  325.5  331.1  325.9
  486.1   6096   -7.8  -22.4     30   1.31    170     27  326.0  330.8  326.3
  435.0   6951  -14.7  -31.7     22   0.62    179     28  327.8  330.2  328.0
  400.0   7580  -18.5  -42.5     10   0.23    185     29  330.9  331.8  330.9
  397.9   7620  -18.7  -43.0     10   0.22    185     29  331.1  332.0  331.1
  385.0   7865  -19.9  -45.9      8   0.16    185     30  332.6  333.3  332.7
  377.0   8021  -21.3  -38.3     20   0.37    185     31  332.8  334.3  332.9
  361.0   8340  -22.9  -49.9      7   0.11    185     33  334.8  335.3  334.8
  336.9   8839  -27.4  -48.2     12   0.14    185     36  335.4  336.0  335.4
  323.0   9144  -30.1  -47.2     17   0.17    190     32  335.7  336.4  335.7
  319.0   9234  -30.9  -46.9     19   0.18    193     30  335.8  336.5  335.8
  311.0   9415  -30.9  -57.9      5   0.05    200     26  338.2  338.4  338.2
  300.0   9670  -32.9  -58.9      6   0.05    210     21  338.9  339.1  338.9
  296.4   9754  -33.6  -59.1      6   0.04    205     16  339.1  339.3  339.1
  259.4  10668  -41.2  -60.8     10   0.04    190      8  341.1  341.3  341.1
  250.0  10920  -43.3  -61.3     12   0.04    205      7  341.6  341.7  341.6
  226.3  11582  -48.7  -60.0     26   0.05    275     15  343.1  343.4  343.1
  219.0  11802  -50.5  -59.5     34   0.06    275     17  343.6  343.9  343.6
  200.0  12390  -55.3  -65.3     28   0.03    275     23  345.0  345.2  345.0
  196.6  12497  -56.0  -65.8     28   0.03    280     22  345.6  345.7  345.6
  184.0  12914  -58.9  -67.9     30   0.02    208     23  347.5  347.6  347.5
  169.7  13411  -61.3  -71.1     26   0.02    120     25  351.7  351.8  351.7
  161.5  13716  -62.7  -73.0     24   0.01    120     19  354.3  354.3  354.3
  150.0  14170  -64.9  -75.9     21   0.01    135      8  358.1  358.1  358.1
  125.5  15240  -68.7  -81.3     15   0.00    205      4  369.9  369.9  369.9
  108.0  16145  -71.9  -85.9     11   0.00    220      7  380.1  380.1  380.1
  102.4  16459  -71.9  -85.9     11   0.00    220      7  385.9  385.9  385.9
  100.0  16600  -71.9  -85.9     11   0.00    220      9  388.6  388.6  388.6
   98.1  16713  -71.5  -85.5     11   0.00    220      9  391.5  391.5  391.5
   97.3  16764  -70.8  -85.0     11   0.00    220      9  393.8  393.8  393.8
   94.0  16967  -68.1  -83.1     10   0.00    211      9  402.9  403.0  402.9
   75.4  18288  -67.5  -86.2      6   0.00    150     12  430.2  430.2  430.2
   73.9  18412  -67.5  -86.5      5   0.00    153     13  432.9  432.9  432.9
   70.0  18740  -65.5  -84.5      6   0.00    160     14  443.9  443.9  443.9
   58.9  19812  -61.2  -83.3      4   0.01    160     15  476.0  476.1  476.0
   50.0  20830  -57.1  -82.1      3   0.01     90      8  508.5  508.6  508.5
   46.1  21336  -57.1  -82.1      3   0.01     65     14  520.2  520.2  520.2
   31.4  23774  -57.3  -82.3      3   0.01     80     33  580.3  580.5  580.4
   30.0  24060  -57.3  -82.3      3   0.02     80     34  587.8  588.0  587.9
   20.4  26518  -49.4  -77.2      2   0.05    115     27  680.0  680.5  680.0
   20.0  26660  -48.9  -76.9      2   0.05    110     25  685.7  686.3  685.8
   17.8  27432  -47.5  -75.5      3   0.08     95     20  713.4  714.1  713.4
   17.0  27737  -47.0  -75.0      3   0.09     90     20  724.6  725.5  724.6
   15.5  28346  -45.9  -73.9      3   0.11     65     26  747.4  748.6  747.5
   15.5  28344  -45.9  -73.9      3   0.11     65     26  747.4  748.6  747.5
   12.9  29556  -49.5  -76.5      3   0.09     72     35  775.2  776.2  775.2
   11.7  30175  -48.8  -76.1      3   0.10     75     40  799.0  800.2  799.0
   11.2  30480  -48.4  -76.0      3   0.11     80     40  810.9  812.3  811.0
   10.0  31230  -47.5  -75.5      3   0.14     90     38  841.1  842.8  841.2
    9.3  31699  -44.4  -73.1      3   0.21     90     35  869.9  872.5  870.0
    9.0  31933  -42.9  -71.9      3   0.26                884.5  887.7  884.6
