10393 Lindenberg Observations at 18Z 16 Jun 2006

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1001.0    115   23.4   18.9     76  13.92    330      2  296.5  336.8  298.9
 1000.0    116   23.4   18.8     75  13.85    330      2  296.6  336.7  299.0
  925.0    793   19.2   12.2     64   9.74    135      6  298.9  327.7  300.7
  914.0    896   18.8   11.0     61   9.12    160      6  299.5  326.5  301.2
  901.0   1018   18.2    9.7     57   8.42    170     10  300.2  325.3  301.7
  866.0   1358   16.8    5.8     48   6.72    187     22  302.1  322.5  303.3
  850.0   1517   15.4    6.4     55   7.14    195     27  302.3  323.9  303.6
  847.0   1546   15.1    6.3     55   7.11    195     27  302.3  323.8  303.6
  732.0   2752    4.3    1.8     84   5.98    195     25  303.3  321.6  304.4
  714.0   2958    2.5    1.0     90   5.80    210     19  303.5  321.2  304.5
  700.0   3122    1.0    0.4     96   5.66    205     21  303.6  320.9  304.6
  690.0   3238    0.0   -0.8     94   5.26    202     22  303.7  319.9  304.7
  682.0   3331   -0.1   -0.1    100   5.60    200     23  304.6  321.9  305.6
  659.0   3605   -1.2   -9.8     52   2.77    220     23  306.4  315.3  306.9
  648.0   3739   -1.7  -14.6     37   1.92    205     21  307.3  313.6  307.6
  640.0   3838   -2.1  -18.1     28   1.44    209     23  307.9  312.8  308.2
  608.0   4243   -5.9  -13.9     53   2.16    224     27  308.1  315.2  308.5
  597.0   4386   -6.6  -24.9     22   0.86    230     29  308.8  311.8  309.0
  593.0   4438   -6.9  -28.9     16   0.60    230     29  309.1  311.2  309.2
  575.0   4678   -8.5  -37.5      8   0.27    229     30  310.0  311.0  310.0
  515.0   5525  -12.9  -24.9     36   0.99    226     34  314.6  318.1  314.8
  504.0   5689  -13.3  -28.3     27   0.74    225     35  316.0  318.7  316.2
  502.0   5720  -13.5  -31.5     20   0.55    225     35  316.2  318.2  316.3
  500.0   5750  -13.9  -31.9     20   0.53    225     35  316.0  318.0  316.1
  485.0   5980  -15.9  -21.9     60   1.37    225     37  316.3  321.1  316.6
  466.0   6279  -18.2  -22.3     70   1.38    225     39  317.1  321.9  317.4
  465.0   6295  -18.3  -22.3     71   1.38    225     39  317.2  322.0  317.4
  464.0   6311  -18.5  -22.5     71   1.36    225     39  317.1  321.9  317.4
  434.0   6806  -22.1  -26.6     67   1.01    223     37  318.7  322.3  318.9
  417.0   7098  -23.5  -35.5     32   0.45    221     36  320.5  322.2  320.6
  400.0   7400  -26.3  -33.3     52   0.58    220     35  320.7  322.9  320.8
  380.0   7769  -29.5  -35.5     56   0.49    223     33  321.2  323.1  321.3
  361.0   8128  -32.4  -42.3     36   0.26    225     31  322.2  323.2  322.2
  321.0   8950  -38.9  -57.9     12   0.05    228     41  324.1  324.3  324.1
  300.0   9410  -42.7  -56.7     20   0.06    230     47  325.1  325.3  325.1
  267.0  10189  -49.5  -57.5     39   0.06    233     52  326.1  326.4  326.2
  250.0  10620  -52.3  -61.3     33   0.04    235     54  328.2  328.4  328.2
  249.0  10646  -52.4  -61.5     32   0.04    240     54  328.4  328.6  328.4
  226.0  11268  -55.1  -67.1     21   0.02    228     50  333.5  333.6  333.5
  211.0  11703  -58.3  -64.7     44   0.03    220     47  335.1  335.3  335.2
  210.0  11733  -58.5  -64.5     46   0.03    220     47  335.3  335.4  335.3
  202.0  11977  -57.9  -63.9     46   0.04    225     51  340.0  340.2  340.0
  200.0  12040  -57.7  -63.7     46   0.04    230     51  341.2  341.4  341.2
  198.0  12104  -57.4  -65.6     34   0.03    230     51  342.6  342.8  342.6
  190.0  12365  -56.4  -73.6     10   0.01    255     39  348.4  348.4  348.4
  185.0  12534  -55.7  -78.7      4   0.00    250     29  352.2  352.2  352.2
  182.0  12639  -52.9  -80.9      2   0.00    247     23  358.4  358.4  358.4
  180.0  12710  -52.8  -81.2      2   0.00    245     19  359.7  359.7  359.7
  168.0  13157  -52.0  -82.8      1   0.00    235     17  368.2  368.2  368.2
  163.0  13352  -51.6  -83.5      1   0.00    235     14  371.9  371.9  371.9
  158.0  13554  -51.3  -84.3      1   0.00    265     10  375.9  375.9  375.9
  154.0  13720  -52.2  -85.2      1   0.00    265      4  377.1  377.1  377.1
  150.0  13890  -53.1  -86.1      1   0.00    255     10  378.4  378.4  378.4
  146.0  14063  -53.4  -86.2      1   0.00    250     16  380.9  380.9  380.9
  139.0  14378  -53.8  -86.5      1   0.00    260     17  385.4  385.5  385.4
  135.0  14565  -54.1  -86.6      1   0.00    285     10  388.2  388.2  388.2
  131.0  14758  -54.4  -86.7      1   0.00    270      4  391.1  391.1  391.1
  121.0  15266  -55.1  -87.1      1   0.00    265      9  398.7  398.7  398.7
  120.0  15319  -54.8  -86.9      1   0.00    265     10  400.1  400.2  400.1
  115.0  15592  -53.3  -86.1      1   0.00    300     10  407.8  407.8  407.8
  113.0  15705  -52.7  -85.7      1   0.00    285     10  411.0  411.0  411.0
  108.0  15995  -53.2  -86.2      1   0.00    310     12  415.4  415.4  415.4
  105.0  16176  -53.5  -86.5      1   0.00    305      4  418.1  418.1  418.1
  100.0  16490  -54.1  -87.1      1   0.00    310      8  422.9  422.9  422.9
   95.0  16819  -54.2  -87.0      1   0.00    290     14  428.9  428.9  428.9
   81.0  17843  -54.6  -86.8      1   0.00     65      2  448.1  448.1  448.1
   78.8  18020  -54.7  -86.7      1   0.00     58      2  451.5  451.5  451.5
   70.0  18780  -54.5  -87.5      1   0.00     30      4  467.4  467.5  467.4
   60.0  19770  -54.0  -87.0      1   0.00     90     10  489.7  489.7  489.7
   55.0  20328  -53.6  -86.6      1   0.00    140     14  502.8  502.8  502.8
   54.0  20446  -53.6  -86.6      1   0.00    145     10  505.5  505.6  505.5
   52.0  20688  -53.4  -86.4      1   0.00     95      2  511.3  511.4  511.3
   50.0  20940  -53.3  -86.3      1   0.00     50      8  517.4  517.5  517.4
   47.0  21338  -54.4  -86.6      1   0.00     75     10  524.0  524.0  524.0
   46.3  21435  -54.7  -86.7      1   0.00     96     11  525.5  525.6  525.5
   46.0  21477  -54.5  -86.6      1   0.00    105     12  527.0  527.0  527.0
   44.0  21765  -53.1  -85.9      1   0.01     70     16  537.1  537.1  537.1
   42.0  22066  -51.7  -85.1      1   0.01     90     17  547.8  547.9  547.8
   40.4  22317  -50.5  -84.5      1   0.01     82     15  556.9  557.0  556.9
   39.0  22547  -51.0  -84.7      1   0.01     75     14  561.2  561.3  561.2
   38.0  22717  -51.4  -84.8      1   0.01     95     17  564.4  564.5  564.4
   37.0  22890  -51.8  -84.9      1   0.01    100     16  567.7  567.8  567.7
   36.8  22926  -51.9  -84.9      1   0.01     97     15  568.4  568.5  568.4
   36.0  23069  -51.6  -84.8      1   0.01     85     12  572.6  572.7  572.6
   35.0  23253  -51.3  -84.6      1   0.01    115     17  578.1  578.2  578.1
   33.0  23637  -50.6  -84.2      1   0.01     55     10  589.8  589.9  589.8
   32.0  23838  -50.3  -83.9      1   0.01    110     12  595.9  596.0  595.9
   30.0  24260  -49.5  -83.5      1   0.01     80      8  609.1  609.2  609.1
   29.0  24482  -49.4  -83.4      1   0.01    110     12  615.2  615.4  615.2
   26.0  25197  -49.1  -83.2      1   0.02    125     10  635.5  635.6  635.5
   25.0  25454  -49.0  -83.0      1   0.02     85     12  643.0  643.1  643.0
   23.0  26000  -48.8  -82.8      1   0.02     85     17  659.0  659.2  659.1
   22.0  26291  -48.7  -82.7      1   0.02    105     14  667.8  668.0  667.8
   21.7  26381  -48.7  -82.7      1   0.02    101     18  670.5  670.7  670.5
   21.0  26598  -47.6  -82.0      1   0.02     90     27  680.2  680.5  680.2
   20.0  26920  -45.9  -80.9      1   0.03     95     23  694.9  695.2  694.9
   19.0  27264  -45.2  -80.5      1   0.03     90     12  707.4  707.7  707.4
   18.0  27627  -44.4  -80.1      1   0.04    105     19  720.8  721.2  720.8
   17.0  28011  -43.6  -79.6      1   0.04     80     12  735.2  735.7  735.2
   16.0  28418  -42.8  -79.1      1   0.05    105     19  750.8  751.4  750.9
   15.0  28851  -41.9  -78.6      1   0.06     70     17  767.8  768.4  767.8
   14.4  29125  -41.3  -78.3      1   0.06     67     24  778.7  779.4  778.8
   14.0  29316  -41.4  -78.0      1   0.07     65     29  784.8  785.5  784.8
   13.4  29613  -41.5  -77.5      1   0.07     80     28  794.2  795.1  794.3
