72562 LBF North Platte Observations at 00Z 03 Jul 1999

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    -36                                                               
  925.0    660                                                               
  906.0    849   31.6   25.6     71  23.48    110     14  313.5  387.0  317.8
  899.4    914   30.9   25.1     71  22.87    120     14  313.4  385.0  317.7
  868.9   1219   27.8   22.5     73  20.16    145     13  313.3  376.1  317.0
  850.0   1414   25.8   20.8     74  18.57    155     15  313.2  370.9  316.6
  810.8   1829   22.2   19.2     83  17.58    175     17  313.6  368.3  316.9
  802.0   1924   21.4   18.8     85  17.35    183     17  313.7  367.7  317.0
  782.9   2134   21.1   15.1     69  14.02    200     16  315.6  359.6  318.2
  777.0   2200   21.0   14.0     64  13.10    203     15  316.1  357.4  318.6
  762.0   2369   23.6   -0.4     20   4.90    212     14  320.7  337.0  321.7
  755.9   2438   23.1   -0.7     21   4.82    215     13  320.9  336.9  321.8
  729.7   2743   20.7   -2.2     21   4.47    220     12  321.6  336.5  322.4
  700.0   3101   18.0   -4.0     22   4.08    220     14  322.4  336.1  323.2
  655.4   3658   13.3   -7.8     22   3.26    220     19  323.2  334.3  323.8
  651.0   3715   12.8   -8.2     22   3.18    220     19  323.3  334.1  323.9
  608.6   4267    7.7   -8.4     31   3.36    220     18  323.6  335.1  324.3
  565.0   4877    2.0   -8.6     45   3.57    230     17  323.9  336.1  324.6
  553.0   5053    0.4   -8.6     51   3.63    232     17  324.0  336.3  324.7
  515.0   5619   -5.3  -10.3     68   3.41    238     19  323.8  335.4  324.4
  503.8   5791   -6.5  -13.0     60   2.81    240     19  324.4  334.0  324.9
  500.0   5850   -6.9  -13.9     57   2.63    240     20  324.6  333.6  325.1
  484.4   6096   -9.4  -15.6     61   2.35    245     21  324.5  332.6  324.9
  480.0   6167  -10.1  -16.1     61   2.28    245     22  324.4  332.4  324.9
  455.0   6578  -12.9  -26.9     30   0.93    243     26  325.9  329.4  326.1
  437.0   6885  -14.7  -27.7     32   0.90    242     29  327.4  330.8  327.6
  432.0   6973  -15.5  -23.5     50   1.34    242     30  327.5  332.3  327.7
  415.0   7275  -17.5  -32.5     26   0.60    241     33  328.7  331.0  328.8
  400.0   7550  -19.3  -35.3     23   0.48    240     36  329.8  331.7  329.9
  396.2   7620  -19.8  -36.5     21   0.43    240     36  330.1  331.8  330.2
  384.0   7852  -21.3  -40.3     16   0.30    240     38  331.1  332.2  331.1
  347.0   8589  -27.5  -34.5     51   0.59    240     45  332.4  334.7  332.5
  339.0   8757  -28.1  -37.1     42   0.47    240     46  333.8  335.6  333.9
  326.0   9036  -30.3  -40.3     37   0.35    240     49  334.5  335.9  334.6
  321.0   9144  -31.3  -39.6     44   0.39    240     50  334.6  336.2  334.7
  310.0   9391  -33.5  -37.9     65   0.47    240     52  334.9  336.8  335.0
  300.0   9620  -35.3  -39.9     63   0.40    240     53  335.5  337.1  335.6
  290.0   9855  -37.3  -44.3     48   0.26    241     54  335.9  337.0  336.0
  275.0  10219  -40.5  -44.0     69   0.28    243     55  336.4  337.6  336.5
  257.2  10668  -44.1  -48.5     61   0.18    245     56  337.5  338.3  337.6
  250.0  10860  -45.7  -50.5     58   0.15    245     57  338.0  338.6  338.0
  223.8  11582  -51.5  -57.0     52   0.08    245     62  340.0  340.3  340.0
  209.0  12029  -55.0  -61.0     47   0.05    245     62  341.1  341.3  341.1
  208.0  12060  -55.3  -61.3     47   0.05    246     61  341.2  341.4  341.2
  200.0  12310  -56.1  -65.1     31   0.03    250     52  343.8  343.9  343.8
  193.0  12536  -57.7  -68.7     23   0.02    249     51  344.7  344.8  344.7
  163.0  13589  -63.1  -80.1      8   0.00    243     45  352.7  352.7  352.7
  151.9  14021  -64.0  -80.1      9   0.00    240     42  358.4  358.4  358.4
  150.0  14100  -64.1  -80.1     10   0.00    240     43  359.5  359.5  359.5
  125.0  15212  -67.7  -84.7      7   0.00    250     25  372.2  372.2  372.2
  124.4  15240  -67.7  -84.7      7   0.00    250     26  372.6  372.6  372.6
  108.0  16093  -68.7  -85.7      7   0.00    257     20  386.1  386.2  386.1
  102.0  16439  -65.9  -84.9      5   0.00    260     18  397.9  397.9  397.9
  101.7  16459  -66.0  -85.0      5   0.00    260     18  398.1  398.1  398.1
  100.0  16560  -66.5  -85.5      5   0.00    260     14  399.0  399.0  399.0
   98.5  16652  -65.9  -84.9      5   0.00    260     14  401.9  401.9  401.9
   96.7  16764  -66.2  -85.2      5   0.00    260     13  403.3  403.3  403.3
   96.4  16783  -66.3  -85.3      5   0.00    259     13  403.6  403.6  403.6
   87.7  17360  -64.3  -86.3      3   0.00    232     13  418.6  418.6  418.6
   86.1  17474  -59.9  -82.9      3   0.00    227     13  429.7  429.7  429.7
   80.2  17918  -60.1  -84.1      3   0.00    207     14  438.1  438.1  438.1
   75.6  18288  -59.8  -83.8      3   0.00    190     14  446.1  446.1  446.1
   72.0  18593  -59.6  -83.6      3   0.01    205     18  452.8  452.8  452.8
   70.0  18770  -59.5  -83.5      3   0.01    190     15  456.8  456.8  456.8
   68.6  18898  -59.3  -83.4      3   0.01    185     14  459.8  459.8  459.8
   65.3  19202  -59.0  -83.2      3   0.01    210     19  467.0  467.0  467.0
   62.2  19507  -58.6  -82.9      3   0.01    210     14  474.4  474.4  474.4
   51.2  20726  -57.1  -82.0      3   0.01    135     13  504.9  505.0  505.0
   50.0  20880  -56.9  -81.9      3   0.01    150     15  508.9  509.0  509.0
   47.8  21165  -57.1  -82.1      3   0.01    156     14  515.1  515.1  515.1
   46.5  21336  -56.3  -81.5      3   0.01    160     14  521.0  521.1  521.0
   43.4  21780  -54.1  -80.1      3   0.02    150     14  536.8  537.0  536.8
   36.4  22905  -55.1  -81.1      3   0.02    123     13  561.9  562.0  561.9
   33.3  23470  -53.3  -79.7      3   0.02    110     12  581.0  581.2  581.0
   31.8  23774  -52.3  -79.0      3   0.02    125     12  591.5  591.7  591.5
   30.0  24150  -51.1  -78.1      3   0.03    100     13  604.7  605.0  604.7
   27.7  24669  -50.1  -77.1      3   0.04     90     14  621.5  621.8  621.5
   27.6  24689  -50.1  -77.1      3   0.04     90     14  622.0  622.3  622.0
   25.1  25298  -50.4  -77.4      3   0.04     75     16  638.0  638.4  638.0
   21.1  26441  -50.9  -77.9      3   0.04     79     16  669.3  669.7  669.3
   20.0  26790  -48.9  -76.9      2   0.05     80     16  685.7  686.3  685.8
   18.1  27432  -46.0  -74.8      2   0.08     85     15  714.1  714.9  714.1
   17.6  27636  -45.1  -74.1      2   0.10                723.3  724.3  723.3
