01004 ENAS Ny-Alesund Ii Observations at 12Z 14 Feb 2021

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1012.0      8  -11.7  -15.8     72   1.11    110     10  260.6  263.6  260.7
 1000.0    108  -11.5  -14.9     76   1.21    105     19  261.6  265.0  261.8
  985.0    223  -12.6  -15.3     80   1.19     95     17  261.7  265.0  261.9
  961.0    410  -14.4  -15.9     89   1.16    105     21  261.7  264.9  261.9
  944.0    546  -15.7  -16.3     95   1.14    114     17  261.7  264.9  261.9
  937.0    602  -14.5  -17.3     79   1.06    117     15  263.5  266.5  263.7
  932.0    643  -15.0  -17.4     82   1.05    120     14  263.4  266.4  263.6
  919.0    749  -16.3  -17.7     89   1.04    161     12  263.1  266.1  263.3
  913.0    798  -14.7  -16.3     88   1.18    180     12  265.3  268.6  265.4
  882.0   1059  -15.3  -16.5     91   1.20    187     12  267.3  270.7  267.5
  850.0   1337  -17.7  -18.6     93   1.04    195     12  267.6  270.6  267.8
  845.0   1381  -18.0  -18.9     93   1.02    200     14  267.7  270.7  267.9
  827.0   1540  -19.2  -19.9     94   0.96    185     14  268.1  270.9  268.3
  812.0   1676  -20.2  -20.8     95   0.90    190     12  268.5  271.1  268.6
  805.0   1740  -20.7  -21.2     96   0.88    205     10  268.6  271.2  268.8
  800.0   1786  -21.0  -21.5     96   0.86    215     10  268.7  271.3  268.9
  767.0   2098  -23.3  -23.5     98   0.75    215     10  269.5  271.8  269.6
  756.0   2203  -24.2  -24.6     97   0.70    215     10  269.6  271.7  269.7
  739.0   2368  -25.7  -26.2     96   0.61    255     10  269.7  271.6  269.8
  735.0   2408  -26.1  -26.6     96   0.59    268     11  269.8  271.6  269.9
  725.0   2507  -26.0  -29.9     70   0.44    300     14  270.9  272.3  271.0
  716.0   2597  -25.9  -32.9     52   0.34    305     17  272.0  273.1  272.1
  711.0   2648  -26.3  -31.1     64   0.40    308     19  272.1  273.4  272.2
  708.0   2679  -26.3  -38.3     31   0.20    310     20  272.4  273.1  272.5
  700.0   2761  -25.9  -45.9     14   0.09    315     23  273.8  274.1  273.8
  691.0   2854  -25.6  -41.5     21   0.15    320     27  275.1  275.6  275.1
  687.0   2896  -25.5  -39.5     26   0.18    320     28  275.7  276.3  275.7
  604.0   3826  -25.1  -53.7      5   0.04    320     51  286.5  286.6  286.5
  602.0   3850  -25.1  -54.1      5   0.04    320     51  286.8  286.9  286.8
  560.0   4370  -28.5  -43.5     22   0.15    320     56  288.7  289.2  288.8
  500.0   5170  -33.3  -58.3      6   0.03    320     64  292.4  292.5  292.4
  443.0   6001  -38.9  -62.1      7   0.02    320     70  295.6  295.7  295.6
  406.0   6600  -42.9  -64.9      7   0.02    324     63  297.9  297.9  297.9
  400.0   6700  -43.7  -64.7      8   0.02    325     62  298.1  298.2  298.1
  349.0   7605  -51.1  -69.1     10   0.01    325     63  300.0  300.0  300.0
  317.0   8225  -54.8  -70.9     12   0.01    325     64  303.2  303.2  303.2
  300.0   8580  -56.9  -71.9     13   0.01    320     64  305.0  305.1  305.0
  283.0   8946  -58.9  -72.5     16   0.01    320     70  307.3  307.3  307.3
  264.0   9382  -61.3  -73.3     19   0.01    323     63  309.9  310.0  309.9
  253.0   9646  -62.3  -74.3     19   0.01    325     58  312.3  312.3  312.3
  250.0   9720  -61.9  -74.9     16   0.01    325     56  313.9  313.9  313.9
  241.0   9946  -62.1  -73.1     22   0.01    323     55  316.9  317.0  316.9
  211.0  10768  -59.7  -80.7      5   0.00    317     49  332.9  332.9  332.9
  200.0  11100  -61.3  -82.3      5   0.00    315     47  335.5  335.5  335.5
  199.0  11131  -61.3  -82.3      5   0.00    315     47  336.1  336.1  336.1
  189.0  11453  -60.8  -82.8      4   0.00    330     39  341.8  341.8  341.8
  169.0  12150  -59.9  -83.9      3   0.00    320     35  354.4  354.4  354.4
  150.0  12890  -63.1  -85.1      4   0.00    310     31  361.2  361.2  361.2
  143.0  13182  -63.3  -85.3      4   0.00    310     25  365.7  365.8  365.7
  138.0  13400  -63.5  -85.5      4   0.00    300     29  369.2  369.2  369.2
  135.0  13534  -63.6  -85.6      4   0.00    310     29  371.3  371.3  371.3
  130.0  13765  -63.8  -85.8      4   0.00    295     33  375.0  375.0  375.0
  114.0  14569  -64.5  -86.5      3   0.00    305     41  388.1  388.1  388.1
  110.0  14787  -64.6  -86.6      3   0.00    315     37  391.8  391.8  391.8
  100.0  15370  -65.1  -87.1      3   0.00    305     35  401.7  401.7  401.7
   97.0  15556  -65.0  -87.2      3   0.00    305     31  405.5  405.5  405.5
   86.0  16292  -64.4  -87.7      3   0.00    300     37  420.7  420.8  420.7
   83.0  16509  -64.3  -87.8      3   0.00    285     37  425.4  425.4  425.4
   79.0  16811  -64.0  -88.0      2   0.00    290     45  431.9  431.9  431.9
   75.0  17128  -63.8  -88.2      2   0.00    295     33  438.8  438.8  438.8
   72.0  17378  -63.6  -88.4      2   0.00    300     39  444.3  444.4  444.3
   70.0  17550  -63.5  -88.5      2   0.00    290     41  448.2  448.2  448.2
   69.9  17559  -63.3  -88.3      2   0.00    290     41  448.8  448.8  448.8
   63.5  18142  -67.1  -89.1      3   0.00    282     41  452.9  452.9  452.9
   62.0  18287  -66.7  -89.0      3   0.00    280     41  457.0  457.1  457.0
   59.0  18587  -65.7  -88.8      3   0.00    285     39  465.6  465.7  465.6
   55.3  18979  -64.5  -88.5      2   0.00    276     42  477.1  477.1  477.1
   53.0  19237  -65.3  -88.8      3   0.00    270     45  481.2  481.2  481.2
   50.0  19590  -66.3  -89.3      3   0.00    280     43  486.8  486.9  486.8
   45.3  20185  -67.9  -89.9      3   0.00    285     41  496.9  496.9  496.9
   45.0  20225  -67.8  -89.9      3   0.00    285     39  498.1  498.1  498.1
   43.0  20499  -67.2  -90.2      3   0.00    265     47  506.1  506.1  506.1
   41.0  20786  -66.5  -90.5      2   0.00    270     41  514.6  514.7  514.6
   40.9  20800  -66.5  -90.5      2   0.00    270     41  515.1  515.1  515.1
   39.0  21086  -67.0  -90.7      2   0.00    265     54  521.0  521.0  521.0
   32.0  22273  -68.9  -91.3      3   0.00    270     49  546.1  546.2  546.1
   30.0  22660  -69.5  -91.5      3   0.00    270     60  554.6  554.6  554.6
   24.9  23770  -70.7  -91.7      3   0.00    265     66  581.5  581.5  581.5
   21.0  24788  -68.5  -91.9      2   0.00    260     72  617.1  617.1  617.1
   20.0  25080  -67.9  -91.9      2   0.00    260     66  627.6  627.7  627.6
   19.4  25263  -67.5  -91.5      2   0.00    261     66  634.4  634.4  634.4
   16.0  26418  -69.0  -92.2      2   0.01    265     68  665.2  665.3  665.2
   15.5  26609  -69.3  -92.3      2   0.01    261     68  670.4  670.5  670.4
   13.0  27675  -65.9  -91.7      2   0.01    240     68  716.6  716.7  716.6
   12.0  28160  -64.4  -91.3      1   0.01    250     91  738.6  738.7  738.6
   11.2  28578  -63.1  -91.1      1   0.01    258     76  758.0  758.1  758.0
   11.0  28688  -63.5  -91.1      1   0.01    260     72  760.3  760.4  760.3
   10.0  29270  -65.9  -90.9      2   0.01    260     64  772.5  772.7  772.5
    9.7  29455  -66.3  -92.3      2   0.01    261     61  777.8  777.9  777.8
    9.0  29911  -65.2  -91.6      1   0.01    265     54  799.0  799.2  799.0
    8.3  30404  -63.9  -90.9      1   0.01    251     58  822.6  822.8  822.7
