Observations for Station 01415 starting 1105Z 21 Aug 2022, Latitude: 58.874 Longitude: 5.665

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1004.4     37   16.6   10.7     68   8.06    236    3.5  289.4  312.3  290.8
 1003.8     42   16.4    9.7     65   7.56    225    4.9  289.2  310.7  290.5
 1003.2     47   16.0    9.5     65   7.44    225    5.3  288.9  310.1  290.2
 1001.8     59   15.8    9.4     66   7.42    226    5.6  288.8  309.9  290.1
 1001.2     64   15.7    9.3     66   7.34    226    6.0  288.8  309.7  290.0
 1001.2     64   15.7    9.2     65   7.32    227    6.4  288.8  309.6  290.0
 1000.6     69   15.8    9.2     65   7.30    227    6.7  288.9  309.7  290.1
 1000.1     73   15.6    8.9     64   7.16    227    7.0  288.7  309.1  290.0
 1000.0     74   15.6    8.9     64   7.15    228    7.4  288.7  309.1  290.0
  999.5     78   15.4    8.7     64   7.10    228    7.4  288.6  308.8  289.9
  998.9     83   15.3    8.7     65   7.09    228    7.7  288.5  308.8  289.8
  998.3     88   15.3    8.8     65   7.11    228    8.0  288.5  308.8  289.8
  997.7     94   15.2    8.8     65   7.13    229    8.3  288.6  308.9  289.8
  997.1     99   15.2    8.8     66   7.15    229    8.5  288.6  309.0  289.9
  996.5    104   15.2    8.8     66   7.16    229    8.7  288.6  309.0  289.9
  995.9    109   15.1    8.8     66   7.15    229    9.0  288.6  309.0  289.9
  995.3    114   15.1    8.8     66   7.14    230    9.2  288.6  309.0  289.9
  994.7    119   15.0    8.7     66   7.13    230    9.3  288.6  308.9  289.9
  994.1    124   15.0    8.7     66   7.13    230    9.5  288.6  309.0  289.9
  993.5    129   15.0    8.8     66   7.15    230    9.6  288.6  309.0  289.9
  993.0    134   14.9    8.7     67   7.14    231    9.8  288.6  309.0  289.9
  992.4    139   14.8    8.7     67   7.13    231    9.9  288.6  308.9  289.8
  991.9    143   14.8    8.7     67   7.15    231   10.0  288.6  309.0  289.9
  991.3    148   14.8    8.7     67   7.15    231   10.1  288.6  309.0  289.9
  990.8    153   14.7    8.6     67   7.09    231   10.1  288.6  308.8  289.8
  990.2    157   14.6    8.4     66   7.01    232   10.2  288.6  308.5  289.8
  989.7    162   14.5    8.3     66   6.97    232   10.3  288.5  308.4  289.7
  989.3    166   14.5    8.2     66   6.91    232   10.3  288.5  308.2  289.7
  988.8    169   14.4    8.1     66   6.86    232   10.4  288.5  308.0  289.7
  988.4    173   14.4    8.1     66   6.86    232   10.4  288.5  308.0  289.7
  988.0    177   14.4    8.1     66   6.87    232   10.5  288.5  308.1  289.7
  987.6    180   14.3    8.1     66   6.86    232   10.5  288.5  308.1  289.7
  987.2    183   14.3    8.0     66   6.82    231   10.6  288.5  308.0  289.7
  986.8    187   14.3    7.9     65   6.78    231   10.6  288.6  307.9  289.7
  986.4    190   14.3    8.0     66   6.85    231   10.7  288.6  308.1  289.8
  986.0    194   14.3    8.2     67   6.95    231   10.7  288.6  308.4  289.8
  985.6    197   14.2    8.4     68   7.04    231   10.8  288.6  308.6  289.8
  985.2    201   14.2    8.5     69   7.09    230   10.8  288.6  308.7  289.8
  984.8    204   14.1    8.4     68   7.04    230   10.9  288.5  308.6  289.8
  984.4    208   14.1    8.2     68   6.95    230   10.9  288.5  308.3  289.7
  984.0    211   14.1    7.9     67   6.82    230   10.9  288.6  308.0  289.7
  983.6    214   14.1    7.6     65   6.67    229   11.0  288.6  307.6  289.7
  983.2    218   14.0    7.4     64   6.59    229   11.0  288.6  307.4  289.7
  982.8    221   14.0    7.4     64   6.59    228   11.0  288.6  307.4  289.7
  982.4    224   14.0    7.6     65   6.66    228   11.1  288.6  307.6  289.7
  982.0    228   13.9    7.8     66   6.76    228   11.1  288.6  307.8  289.7
  981.6    231   13.9    7.9     67   6.82    227   11.1  288.5  308.0  289.7
  981.2    235   13.8    7.9     67   6.80    227   11.2  288.5  307.9  289.7
  980.7    239   13.8    7.7     67   6.73    226   11.2  288.5  307.7  289.7
  980.3    242   13.8    7.5     66   6.65    226   11.2  288.5  307.5  289.7
  979.9    246   13.8    7.5     66   6.65    226   11.2  288.6  307.6  289.7
  979.4    250   13.7    7.7     67   6.74    225   11.2  288.6  307.8  289.8
  979.0    254   13.7    7.9     68   6.84    225   11.2  288.6  308.1  289.8
  978.6    257   13.6    7.9     68   6.85    225   11.2  288.6  308.1  289.8
  978.2    261   13.6    7.9     68   6.83    224   11.2  288.6  308.0  289.8
  977.8    264   13.6    7.9     68   6.83    224   11.2  288.6  308.0  289.8
  977.4    268   13.6    7.9     69   6.86    224   11.2  288.6  308.1  289.8
  976.9    271   13.5    8.0     69   6.88    224   11.2  288.6  308.2  289.8
  976.5    275   13.5    8.0     69   6.90    224   11.1  288.6  308.3  289.8
  976.0    279   13.4    8.0     70   6.93    223   11.1  288.6  308.3  289.8
  975.6    283   13.4    8.1     70   6.94    223   11.1  288.6  308.4  289.8
  975.1    287   13.4    8.0     70   6.93    223   11.0  288.6  308.3  289.8
  974.6    291   13.3    8.0     70   6.91    223   11.0  288.6  308.3  289.8
