Observations for Station 01241 starting 1104Z 21 Aug 2022, Latitude: 63.705 Longitude: 9.612

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1005.1     30   15.9   14.0     89  10.04    291    4.9  288.6  316.9  290.4
 1004.4     36   15.6   13.7     89   9.87    293    4.8  288.4  316.2  290.1
 1003.0     48   15.0   13.2     89   9.54    294    4.9  287.9  314.7  289.6
 1001.6     59   14.5   12.7     89   9.22    294    4.9  287.5  313.4  289.1
 1000.3     71   14.3   12.5     89   9.12    296    4.8  287.4  313.0  289.0
  998.9     83   14.1   12.1     88   8.89    298    4.8  287.3  312.3  288.8
  997.4     95   13.8   11.8     87   8.73    298    4.8  287.2  311.7  288.7
  996.1    106   13.7   11.7     88   8.72    298    4.8  287.2  311.7  288.7
  994.7    118   13.5   11.5     88   8.60    299    4.7  287.1  311.3  288.6
  993.2    131   13.4   11.6     89   8.68    301    4.6  287.1  311.5  288.6
  991.4    147   13.4   11.6     89   8.71    303    4.5  287.2  311.7  288.7
  989.8    160   13.3   11.6     89   8.70    304    4.4  287.3  311.7  288.8
  988.3    173   13.1   11.5     90   8.65    307    4.4  287.3  311.6  288.8
  987.1    182   13.0   11.4     90   8.58    309    4.4  287.2  311.3  288.7
  985.6    195   12.8   11.2     90   8.49    310    4.5  287.1  311.0  288.6
  984.5    205   12.6   11.1     91   8.48    311    4.6  287.1  310.9  288.5
  983.0    218   12.6   11.3     92   8.61    312    4.7  287.2  311.4  288.7
  981.9    227   12.6   11.4     93   8.67    313    4.7  287.2  311.6  288.7
  980.5    240   12.5   11.3     93   8.63    311    4.8  287.2  311.5  288.7
  979.1    251   12.3   11.3     94   8.63    312    4.9  287.2  311.4  288.7
  978.0    261   12.2   11.2     94   8.59    312    5.0  287.2  311.3  288.7
  976.6    273   11.9   11.0     94   8.44    311    5.1  287.0  310.7  288.5
  975.4    283   11.7   10.7     93   8.29    310    5.3  286.9  310.2  288.4
  973.4    300   11.6   10.8     94   8.37    311    5.6  287.0  310.5  288.4
  972.4    309   11.6   10.8     95   8.37    311    5.8  287.0  310.5  288.4
  971.0    321   11.4   10.7     95   8.32    310    5.9  287.0  310.3  288.4
  969.5    334   11.2   10.5     95   8.23    309    6.1  286.9  310.0  288.3
  968.3    344   11.2   10.4     95   8.19    309    6.4  286.9  310.0  288.4
  967.2    354   11.0   10.4     96   8.21    309    6.6  286.9  310.0  288.3
  965.9    365   10.9   10.3     96   8.17    308    6.7  286.9  309.9  288.3
  965.0    373   10.9   10.2     96   8.13    308    6.8  286.9  309.8  288.3
  963.5    386   10.8   10.0     94   8.00    307    7.0  287.0  309.5  288.4
  962.3    396   10.7   10.0     95   8.01    308    7.0  287.0  309.5  288.4
  961.3    405   10.6    9.9     95   7.96    308    7.0  287.0  309.4  288.4
  960.1    415   10.5    9.8     95   7.92    307    7.0  287.0  309.3  288.4
  958.7    427   10.4    9.8     96   7.93    308    7.1  287.0  309.3  288.4
  957.2    440   10.4    9.6     95   7.87    308    7.1  287.1  309.2  288.4
  955.9    452   10.3    9.6     95   7.84    307    7.0  287.1  309.2  288.5
  954.6    463   10.2    9.4     95   7.76    307    7.0  287.1  309.0  288.5
  953.4    473   10.2    9.1     93   7.63    306    7.0  287.2  308.8  288.6
  952.1    485   10.2    8.8     91   7.49    306    6.8  287.3  308.5  288.6
  950.9    496   10.1    8.7     91   7.44    305    6.6  287.4  308.4  288.7
  949.6    507   10.0    8.6     91   7.41    305    6.6  287.4  308.3  288.7
  948.2    519    9.9    8.5     91   7.36    304    6.5  287.4  308.2  288.7
  946.8    531    9.8    8.5     91   7.35    303    6.5  287.4  308.2  288.7
  945.5    543    9.7    8.4     91   7.32    302    6.5  287.4  308.1  288.7
  944.2    554    9.6    8.3     92   7.29    301    6.4  287.4  308.0  288.7
  943.0    565    9.5    8.2     92   7.27    299    6.4  287.4  308.0  288.7
  941.8    575    9.4    8.2     92   7.27    298    6.4  287.4  308.0  288.7
  940.7    585    9.3    8.2     93   7.25    297    6.4  287.4  308.0  288.7
  939.5    596    9.2    8.1     93   7.23    296    6.4  287.4  307.9  288.7
  938.2    607    9.1    8.1     93   7.23    295    6.4  287.5  307.9  288.7
  936.8    620    9.0    8.0     94   7.22    294    6.4  287.5  307.9  288.7
  935.6    630    9.0    8.0     94   7.23    292    6.4  287.5  308.0  288.8
  934.2    642    8.9    8.0     94   7.24    291    6.4  287.6  308.1  288.8
  933.1    653    8.8    8.0     95   7.23    290    6.4  287.6  308.1  288.8
  931.8    664    8.7    8.0     95   7.24    289    6.3  287.6  308.1  288.9
  930.5    675    8.7    8.0     96   7.26    288    6.3  287.7  308.2  288.9
  929.3    686    8.6    8.0     96   7.24    288    6.2  287.7  308.2  288.9
  928.0    698    8.5    8.0     96   7.25    287    6.1  287.7  308.2  289.0
  926.8    708    8.4    7.9     97   7.24    287    6.1  287.7  308.2  289.0
  925.5    720    8.3    7.9     97   7.22    287    6.0  287.7  308.2  289.0
  924.2    732    8.2    7.9     98   7.23    286    5.8  287.8  308.2  289.0
  923.1    742    8.2    7.9     98   7.24    287    5.7  287.8  308.4  289.1
